			;	Ale	;		;Aline	;		;	Ana	;Carlos	;		;Cris	;		;		;Delmo	;		;Edson	;Harlen	;		;		;Humb	;		;		;		;Irineu	;		;	JP	;		;		;		;		;	JR	;		;		;Juli	;		;		;		;Karla	;		;Luiz	;		;		;		;		;Marcio	;	MC	;		;Graça	;		;		;		;Mario	;Peter	;		;		;		;Ricard	;		;Wagner	;		;		;		;		;Yossi	;		;
			;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
			;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	10	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Sex19h!SB   ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Sex21h!SA   ;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	5	;	5	;
			;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	5	;	5	;
			;	1	;	1	;	1	;	1	;	1	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	5	;	5	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	5	;	5	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(18,13,23,27,33,51,48,22,5,15,47,52,37,16,14,44,10,31,21,25,56,24,21,42,3,46,41,34,45,10,38,58,8,43,49,9,2,26,1,39,54,1,57,36,51,17,7,55,35,4,53,31,12,19,41,29,32,59,61,6,28)
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(18,13,23,27,5,51,48,22,33,15,47,52,37,16,14,10,44,28,21,25,56,24,21,42,3,46,41,34,45,55,38,58,8,43,49,9,2,26,1,39,54,1,57,36,51,17,7,10,35,4,53,31,12,19,41,29,32,61,59,6,31)
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(18,23,15,33,5,26,16,49,29,51,47,14,27,37,46,52,10,31,25,10,21,21,34,22,24,13,41,53,44,58,36,9,43,41,51,3,7,42,1,55,38,39,57,1,32,8,19,54,4,48,35,45,12,59,17,2,28,56,61,6,31)
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(16,23,15,31,6,49,18,26,32,47,14,41,22,51,45,10,13,33,21,10,42,34,21,25,52,35,57,41,55,46,36,43,53,8,2,9,51,28,1,44,37,38,59,1,3,17,7,54,4,48,39,24,12,19,56,29,27,61,58,5,31)
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(13,18,23,27,5,51,48,22,33,15,47,52,28,16,14,10,44,36,21,25,10,21,24,42,3,46,41,34,45,55,38,58,8,43,49,9,2,26,1,39,54,1,57,37,51,17,7,56,35,4,53,31,12,19,41,29,32,59,61,6,31)
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#genes=(41,24,19,32,6,51,26,16,5,13,46,51,29,36,10,52,47,28,42,21,10,21,22,43,23,45,39,35,41,44,1,54,56,8,3,7,49,27,37,57,15,58,38,1,31,9,17,53,4,34,48,2,12,18,55,31,25,61,14,59,33)
